preco,categoria,tipo,valor_condominio,area,quartos,banheiros,vagas,detalhes_imovel,cep,cidade,bairro,rua,detalhes_condominio
585000.0,Apartamentos,Venda - apartamento padrão,450.0,85.0,3.0,2.0,2.0,Varanda,,Vitória,Jardim Camburi,Rua Gelu Vervloet dos Santos,
1350000.0,Apartamentos,Venda - apartamento padrão,660.0,230.0,4.0,0.0,2.0,Churrasqueira,,Vitória,Jardim Camburi,Rua Antônio Araújo Lyra,
900000.0,Apartamentos,Venda - apartamento padrão,0.0,250.0,3.0,2.0,1.0,,232567,Vitória,Resistência,Rua Tancredo Neves,
348336.0,Apartamentos,Venda - apartamento padrão,0.0,65.0,0.0,0.0,0.0,,2335,Vitória,Enseada do Suá,,
400000.0,Apartamentos,Venda - apartamento padrão,350.0,62.0,2.0,2.0,1.0,"Ar condicionado, Armários embutidos, Varanda, Área de serviço, Churrasqueira, Armários na cozinha",2657,Vitória,Bento Ferreira,,"Elevador, Segurança 24h, Academia, Piscina, Salão de festas"
910673.0,Apartamentos,Venda - apartamento padrão,1.0,121.0,3.0,2.0,2.0,"Varanda, Churrasqueira, Piscina, Salão de festas",21,Vitória,Jardim da Penha,Rua Eugenílio Ramos,
800000.0,Apartamentos,Venda - apartamento cobertura,539.0,146.0,3.0,0.0,2.0,,24,Vitória,Jardim Camburi,Rua Maria dos Santos Cunha,
360000.0,Apartamentos,Venda - apartamento padrão,0.0,64.0,2.0,2.0,1.0,"Área de serviço, Armários embutidos, Armários na cozinha, Ar condicionado, Varanda",2922,Vitória,Jardim Camburi,Rua Esther Oliveira Galveas,"Condomínio fechado, Elevador, Portaria, Permitido animais, Salão de festas"
390000.0,Apartamentos,Venda - apartamento padrão,208.0,54.0,2.0,2.0,1.0,"Área de serviço, Armários embutidos, Armários na cozinha, Mobiliado, Ar condicionado, Varanda",28,Vitória,Jardim da Penha,Rua Úrsula Bravin Gagno,"Condomínio fechado, Elevador, Permitido animais"
325000.0,Casas,Venda - casa em rua pública,1.0,0.0,5.0,5.0,5.0,"Armários embutidos, Armários na cozinha, Quarto de serviço, Área de serviço",2413,Vitória,Romão,Rua Aguiar Filho,
410000.0,Apartamentos,Venda - apartamento padrão,0.0,0.0,3.0,3.0,1.0,,22,Vitória,Jardim Camburi,,
245000.0,Apartamentos,Venda - apartamento padrão,200.0,60.0,2.0,2.0,0.0,"Área de serviço, Armários na cozinha",,Vitória,Jardim da Penha,Rua José Neves Cypreste,
520000.0,Apartamentos,Venda - apartamento padrão,380.0,0.0,2.0,2.0,2.0,"Armários embutidos, Armários na cozinha, Ar condicionado, Churrasqueira, Varanda, Piscina",28,Vitória,Jardim da Penha,Praça Wolghano Netto,"Condomínio fechado, Elevador, Portaria, Permitido animais, Piscina, Salão de festas"
395000.0,Casas,Venda - casa em rua pública,0.0,0.0,3.0,3.0,2.0,"Área de serviço, Armários na cozinha, Varanda, Quarto de serviço",21,Vitória,Centro,Rua Duque de Caxias,"Área murada, Permitido animais"
868300.0,Apartamentos,Venda - apartamento padrão,0.0,96.0,3.0,1.0,2.0,"Academia, Varanda, Churrasqueira, Piscina, Salão de festas, 10",2225,Vitória,Enseada do Suá,Rua Humberto Martins de Paula,
395000.0,Apartamentos,Venda - apartamento padrão,380.0,89.0,3.0,0.0,1.0,,23,Vitória,Jardim Camburi,,
650000.0,Apartamentos,Venda - apartamento padrão,600.0,86.0,3.0,3.0,2.0,"Armários embutidos, Varanda, Área de serviço, Churrasqueira, Armários na cozinha",27,Vitória,Bento Ferreira,Rua Coronel Schwab Filho,"Elevador, Permitido animais, Academia, Piscina, Salão de festas"
329000.0,Apartamentos,Venda - apartamento padrão,280.0,92.0,3.0,1.0,1.0,"Área de serviço, Armários embutidos, Armários na cozinha, Ar condicionado",,Vitória,Jardim Camburi,Rua Carlos Martins,Permitido animais
