preco,valor_condominio,area,quartos,banheiros,vagas,cidade,bairro,tipo,churrasqueira,armarios_cozinha,varanda,piscina,salao,seguranca,portaria,elevador,academia
585000.0,450.0,85.0,3.0,2.0,2.0,Vitória,Jardim Camburi,apartamento,0,0,1,0,0,0,0,0,0
1350000.0,660.0,230.0,4.0,0.0,2.0,Vitória,Jardim Camburi,apartamento,1,0,0,0,0,0,0,0,0
900000.0,0.0,250.0,3.0,2.0,1.0,Vitória,Resistência,apartamento,0,0,0,0,0,0,0,0,0
348336.0,0.0,65.0,0.0,0.0,0.0,Vitória,Enseada do Suá,apartamento,0,0,0,0,0,0,0,0,0
400000.0,350.0,62.0,2.0,2.0,1.0,Vitória,Bento Ferreira,apartamento,1,1,1,1,1,1,0,1,1
910673.0,1.0,121.0,3.0,2.0,2.0,Vitória,Jardim da Penha,apartamento,1,0,1,1,1,0,0,0,0
800000.0,539.0,146.0,3.0,0.0,2.0,Vitória,Jardim Camburi,cobertura,0,0,0,0,0,0,0,0,0
360000.0,0.0,64.0,2.0,2.0,1.0,Vitória,Jardim Camburi,apartamento,0,1,1,0,1,0,1,1,0
390000.0,208.0,54.0,2.0,2.0,1.0,Vitória,Jardim da Penha,apartamento,0,1,1,0,0,0,0,1,0
325000.0,1.0,0.0,5.0,5.0,5.0,Vitória,Romão,casa_rua,0,1,0,0,0,0,0,0,0
410000.0,0.0,0.0,3.0,3.0,1.0,Vitória,Jardim Camburi,apartamento,0,0,0,0,0,0,0,0,0
245000.0,200.0,60.0,2.0,2.0,0.0,Vitória,Jardim da Penha,apartamento,0,1,0,0,0,0,0,0,0
520000.0,380.0,0.0,2.0,2.0,2.0,Vitória,Jardim da Penha,apartamento,1,1,1,1,1,0,1,1,0
395000.0,0.0,0.0,3.0,3.0,2.0,Vitória,Centro,casa_rua,0,1,1,0,0,0,0,0,0
868300.0,0.0,96.0,3.0,1.0,2.0,Vitória,Enseada do Suá,apartamento,1,0,1,1,1,0,0,0,0
395000.0,380.0,89.0,3.0,0.0,1.0,Vitória,Jardim Camburi,apartamento,0,0,0,0,0,0,0,0,0
650000.0,600.0,86.0,3.0,3.0,2.0,Vitória,Bento Ferreira,apartamento,1,1,1,1,1,0,0,1,1
329000.0,280.0,92.0,3.0,1.0,1.0,Vitória,Jardim Camburi,apartamento,0,1,0,0,0,0,0,0,0
560000.0,320.0,80.0,3.0,0.0,2.0,Vitória,Jardim Camburi,apartamento,0,0,0,0,0,0,0,0,0
780000.0,0.0,100.0,2.0,0.0,2.0,Vitória,Jardim Camburi,apartamento,0,0,0,0,0,0,0,0,0
400000.0,350.0,88.0,3.0,0.0,1.0,Vitória,Jardim Camburi,apartamento,0,0,0,0,0,0,0,0,0
169900.0,0.0,88.0,2.0,1.0,1.0,Vitória,Vila Rubim,apartamento,0,0,0,0,0,0,0,0,0
730000.0,450.0,140.0,2.0,0.0,0.0,Vitória,Jardim Camburi,cobertura,0,0,0,0,0,0,0,0,0
