preco,valor_condominio,area,quartos,banheiros,vagas,cidade,bairro,tipo,churrasqueira,armarios_cozinha,varanda,piscina,salao,seguranca,portaria,elevador,academia
585000.0,450.0,85.0,3.0,2.0,2.0,Vitória,Jardim Camburi,apartamento,0,0,1,0,0,0,0,0,0
400000.0,350.0,62.0,2.0,2.0,1.0,Vitória,Bento Ferreira,apartamento,1,1,1,1,1,1,0,1,1
910673.0,1.0,121.0,3.0,2.0,2.0,Vitória,Jardim da Penha,apartamento,1,0,1,1,1,0,0,0,0
360000.0,0.0,64.0,2.0,2.0,1.0,Vitória,Jardim Camburi,apartamento,0,1,1,0,1,0,1,1,0
390000.0,208.0,54.0,2.0,2.0,1.0,Vitória,Jardim da Penha,apartamento,0,1,1,0,0,0,0,1,0
245000.0,200.0,60.0,2.0,2.0,0.0,Vitória,Jardim da Penha,apartamento,0,1,0,0,0,0,0,0,0
868300.0,0.0,96.0,3.0,1.0,2.0,Vitória,Enseada do Suá,apartamento,1,0,1,1,1,0,0,0,0
650000.0,600.0,86.0,3.0,3.0,2.0,Vitória,Bento Ferreira,apartamento,1,1,1,1,1,0,0,1,1
329000.0,280.0,92.0,3.0,1.0,1.0,Vitória,Jardim Camburi,apartamento,0,1,0,0,0,0,0,0,0
169900.0,0.0,88.0,2.0,1.0,1.0,Vitória,Vila Rubim,apartamento,0,0,0,0,0,0,0,0,0
355000.0,328.0,70.0,3.0,2.0,1.0,Vitória,Jardim Camburi,apartamento,0,1,0,0,1,0,1,1,0
768100.0,500.0,103.0,3.0,3.0,2.0,Vitória,Bento Ferreira,apartamento,0,0,1,1,1,0,0,1,1
395000.0,200.0,54.0,2.0,2.0,1.0,Vitória,Barro Vermelho,apartamento,0,1,1,0,0,0,1,1,0
935000.0,800.0,115.0,3.0,3.0,3.0,Vitória,Barro Vermelho,apartamento,1,1,1,1,1,1,1,1,1
239900.0,350.0,60.0,2.0,1.0,1.0,Vitória,Jardim Camburi,apartamento,0,1,0,0,1,1,1,0,0
390000.0,400.0,63.0,2.0,2.0,1.0,Vitória,Praia do Suá,apartamento,1,1,1,1,1,1,0,1,1
219000.0,290.0,75.0,3.0,2.0,1.0,Vitória,Jardim Camburi,apartamento,0,1,1,0,0,0,0,0,0
425000.0,546.0,90.0,3.0,2.0,1.0,Vitória,Bento Ferreira,apartamento,0,0,0,0,1,0,1,1,0
430000.0,395.0,72.0,2.0,2.0,1.0,Vitória,Jardim Camburi,apartamento,0,1,1,0,1,0,0,1,0
295000.0,0.0,69.0,3.0,2.0,1.0,Vitória,Jardim da Penha,apartamento,0,0,0,0,0,0,0,0,0
900000.0,1100.0,120.0,3.0,3.0,2.0,Vitória,Santa Lúcia,apartamento,0,0,0,1,1,1,1,1,1
395000.0,900.0,120.0,3.0,3.0,1.0,Vitória,Praia do Canto,apartamento,0,0,0,0,0,0,1,1,0
980000.0,0.0,137.0,4.0,3.0,2.0,Vitória,Jardim Camburi,apartamento,1,0,1,1,1,0,1,1,1
760000.0,650.0,130.0,3.0,3.0,1.0,Vitória,Jardim da Penha,apartamento,0,0,0,0,1,0,0,1,0
490000.0,600.0,64.0,2.0,3.0,2.0,Vitória,Praia do Canto,apartamento,1,1,1,1,1,0,1,1,0
220000.0,0.0,98.0,3.0,3.0,1.0,Vitória,Centro,apartamento,0,1,1,0,0,0,0,0,0
620000.0,380.0,92.0,3.0,2.0,2.0,Vitória,Jardim Camburi,apartamento,0,1,1,1,1,1,1,1,0
699000.0,550.0,97.0,3.0,2.0,2.0,Vitória,Enseada do Suá,apartamento,1,1,1,1,1,1,1,1,1
550000.0,600.0,120.0,3.0,2.0,1.0,Vitória,Barro Vermelho,apartamento,1,1,0,0,1,1,1,1,1
610531.0,0.0,77.0,3.0,2.0,2.0,Vitória,Jardim Camburi,apartamento,1,0,1,1,1,0,0,0,0
490000.0,0.0,110.0,3.0,2.0,2.0,Vitória,Mata da Praia,apartamento,0,1,1,0,1,1,0,0,0
450000.0,400.0,65.0,2.0,1.0,1.0,Vitória,Bento Ferreira,apartamento,1,0,1,1,1,0,0,0,0
490068.0,0.0,64.0,2.0,1.0,1.0,Vitória,Bento Ferreira,apartamento,1,0,1,1,1,0,0,0,0
392781.0,0.0,55.0,2.0,1.0,1.0,Vitória,Horto,apartamento,1,0,1,1,1,0,0,0,0
870000.0,0.0,154.0,3.0,2.0,4.0,Vitória,Jardim Camburi,cobertura,0,0,1,1,0,0,1,1,0
382370.0,0.0,51.0,2.0,1.0,1.0,Vitória,Jardim Camburi,apartamento,0,0,1,0,1,0,0,0,0
495055.0,0.0,66.0,3.0,1.0,2.0,Vitória,Jardim Camburi,apartamento,1,0,1,1,1,0,0,0,0
680000.0,650000.0,96.0,3.0,1.0,2.0,Vitória,Bento Ferreira,apartamento,1,0,1,1,1,0,0,0,0
265000.0,0.0,140.0,3.0,2.0,1.0,Vitória,Centro,apartamento,0,0,0,0,0,0,0,0,0
140000.0,300.0,52.0,1.0,1.0,0.0,Vitória,Centro,apartamento,0,0,0,0,0,0,0,0,0
532000.0,0.0,68.0,2.0,1.0,1.0,Vitória,Santa Helena,apartamento,1,0,1,1,1,0,0,0,0
685000.0,570.0,104.0,3.0,3.0,2.0,Vitória,Jardim Camburi,apartamento,0,0,0,1,1,0,1,1,0
798000.0,630.0,120.0,3.0,2.0,2.0,Vitória,Praia do Canto,apartamento,0,0,0,0,0,0,0,0,0
1063500.0,0.0,76.0,2.0,1.0,2.0,Vitória,Praia do Canto,apartamento,1,0,1,1,1,0,0,0,0
450001.0,0.0,72.0,2.0,2.0,1.0,Vitória,Santa Helena,apartamento,0,0,1,1,1,0,1,1,1
510000.0,300.0,77.0,3.0,1.0,2.0,Vitória,Praia do Suá,apartamento,1,0,1,1,1,0,0,0,0
1150000.0,1000.0,116.0,3.0,1.0,2.0,Vitória,Barro Vermelho,apartamento,1,0,1,1,1,0,0,0,0
820000.0,0.0,106.0,4.0,2.0,3.0,Vitória,Jardim Camburi,apartamento,0,0,1,0,0,0,0,0,0
890000.0,700.0,125.0,3.0,1.0,2.0,Vitória,Jardim Camburi,apartamento,1,0,1,1,1,0,0,0,0
601300.0,0.0,66.0,2.0,1.0,0.0,Vitória,Santa Luíza,apartamento,1,0,1,0,1,0,0,0,0
433514.0,0.0,71.0,2.0,1.0,1.0,Vitória,Jardim Camburi,apartamento,1,0,1,1,1,0,0,0,0
1236044.0,0.0,116.0,3.0,2.0,2.0,Vitória,Barro Vermelho,apartamento,1,0,1,1,1,0,0,0,0
730000.0,450.0,140.0,2.0,3.0,2.0,Vitória,Jardim Camburi,cobertura,0,1,1,1,1,0,0,1,0
259000.0,285.0,73.0,2.0,2.0,1.0,Vitória,Jardim Camburi,apartamento,0,0,0,0,0,0,0,0,0
530000.0,0.0,77.0,3.0,2.0,2.0,Vitória,Jardim Camburi,apartamento,0,0,0,0,0,0,0,0,0
1500000.0,850.0,151.0,4.0,4.0,3.0,Vitória,Praia do Canto,apartamento,1,0,1,1,1,0,0,0,0
240000.0,250.0,80.0,3.0,1.0,1.0,Vitória,Jardim Camburi,apartamento,0,1,0,0,1,1,1,0,0
400000.0,0.0,88.0,3.0,2.0,1.0,Vitória,Jardim Camburi,apartamento,0,1,1,0,0,0,0,1,0
600000.0,900.0,149.0,4.0,3.0,2.0,Vitória,Santa Helena,apartamento,0,1,1,1,1,0,1,1,0
820000.0,0.0,130.0,3.0,2.0,1.0,Vitória,Jardim da Penha,apartamento,0,0,0,0,0,0,0,0,0
239000.0,0.0,50.0,2.0,2.0,1.0,Vitória,Praia do Canto,apartamento,0,1,0,0,0,1,0,1,0
350000.0,270.0,66.0,3.0,2.0,1.0,Vitória,Jardim Camburi,apartamento,0,1,1,0,0,0,0,0,0
290000.0,380.0,70.0,2.0,2.0,1.0,Vitória,Centro,apartamento,1,1,1,1,0,0,0,0,0
269000.0,0.0,59.0,2.0,1.0,0.0,Vitória,Jardim Camburi,apartamento,0,0,0,0,0,0,0,0,0
469000.0,280.0,64.0,2.0,2.0,1.0,Vitória,Jardim Camburi,apartamento,0,0,0,0,0,0,0,0,0
350000.0,330.0,75.0,3.0,3.0,1.0,Vitória,Jardim da Penha,apartamento,0,0,0,0,0,0,0,0,0
670000.0,0.0,90.0,3.0,2.0,2.0,Vitória,Jardim Camburi,apartamento,0,1,1,1,1,0,0,1,0
350000.0,370.0,66.0,3.0,2.0,1.0,Vitória,Jardim Camburi,apartamento,0,1,0,1,1,0,0,1,0
850000.0,700.0,108.0,3.0,4.0,2.0,Vitória,Santa Helena,apartamento,0,0,0,0,0,0,0,0,0
239900.0,280.0,80.0,3.0,1.0,1.0,Vitória,Jardim Camburi,apartamento,0,1,0,0,1,1,1,0,0
410000.0,490.0,100.0,3.0,2.0,1.0,Vitória,Jardim Camburi,apartamento,1,1,1,0,1,0,0,1,0
690000.0,400.0,90.0,3.0,2.0,2.0,Vitória,Mata da Praia,apartamento,1,0,0,1,0,0,0,1,0
290000.0,290.0,59.0,2.0,1.0,1.0,Vitória,Jardim Camburi,apartamento,0,1,1,0,1,0,1,1,0
950000.0,730.0,100.0,3.0,2.0,1.0,Vitória,Praia do Canto,apartamento,0,1,0,0,0,0,0,0,0
365000.0,330.0,56.0,2.0,2.0,1.0,Vitória,Jardim Camburi,apartamento,1,1,1,1,1,0,1,1,0
300000.0,350.0,63.0,2.0,2.0,1.0,Vitória,Jardim da Penha,apartamento,1,0,1,1,1,0,0,0,0
295000.0,350.0,70.0,2.0,1.0,1.0,Vitória,Jardim da Penha,apartamento,0,0,1,0,0,0,0,0,0
495000.0,462.0,74.0,2.0,1.0,1.0,Vitória,Santa Lúcia,apartamento,0,0,0,0,0,0,0,0,0
510000.0,550.0,113.0,3.0,2.0,1.0,Vitória,Jardim da Penha,apartamento,0,0,0,0,0,0,0,0,0
687000.0,0.0,86.0,3.0,2.0,2.0,Vitória,Barro Vermelho,apartamento,0,0,1,1,1,1,1,1,1
300000.0,350.0,63.0,2.0,2.0,1.0,Vitória,Jardim da Penha,apartamento,1,0,1,1,1,0,0,0,0
510000.0,380000.0,70.0,2.0,2.0,1.0,Vitória,Jardim da Penha,apartamento,0,0,0,0,0,0,0,0,0
760000.0,643.0,163.0,3.0,3.0,1.0,Vitória,Mata da Praia,apartamento,0,1,1,0,0,0,1,1,0
479000.0,250.0,69.0,2.0,2.0,1.0,Vitória,Bento Ferreira,apartamento,1,0,1,1,1,0,0,1,0
